parse metadata,infra.grpc.invoker,get metadata from header,parseDataReportFlag ok,DeleteFieldValues <:REQ:>,<:staticStrategies:>,rego exec input:<:MAP:>,computeOwnObjectIDs end,build <:*:> [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,<:REQ:>,AuthListByName <:<:ChineseInfo:>:>,no need or no have tags [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,no need or no have tags,getDept success,getBackupEmp success,Depts only have yunzhanghu,getPermTagsAndValues <:*:>,build <:*:>,build <:*:> <:*:> [trace.id=<:SEQ:> <:transactionID:> <:spanID:>,ClientEnvHandler is <:*:>,<:GIN:>,Response=<:MAP:>,no need compute team member perm,message,approve callback start,svc.ApproveCallback failed,approve status error,loaded policy count:<:NUM:>,<:list modules:>,loadRegoMySQLInterval success,timestamp,unknown
5,7,5,5,0,0,29,0,24,0,5,0,0,0,0,0,0,29,5,24,24,0,0,0,0,0,0,2,2,2,2023-11-30 18:54:00,0
8,8,8,8,0,0,32,0,24,0,8,0,0,0,0,0,0,32,8,24,24,0,0,0,0,0,0,2,2,2,2023-11-30 18:56:00,0
6,6,6,6,0,0,30,0,24,0,6,0,0,0,0,0,0,30,6,24,24,0,0,0,0,0,0,2,2,2,2023-11-30 18:58:00,0
10,12,10,10,0,0,34,0,24,0,10,0,0,0,0,0,0,34,10,24,24,0,0,0,0,0,0,2,2,2,2023-11-30 19:00:00,0
8,8,8,8,0,0,30,0,24,0,6,0,0,1,0,0,0,30,6,24,24,0,0,0,0,0,0,2,2,2,2023-11-30 19:02:00,3
3,6,3,3,0,0,27,0,24,0,3,0,0,0,0,0,0,27,3,24,24,0,0,0,0,0,0,2,2,2,2023-11-30 19:04:00,1
5,5,5,5,0,0,30,0,25,0,5,0,0,0,0,0,0,30,5,25,25,1,0,1,1,1,1,2,2,2,2023-11-30 19:06:00,0
10,10,10,10,0,0,33,0,24,0,9,0,0,1,1,0,0,33,9,24,24,0,0,0,0,0,0,2,2,2,2023-11-30 19:08:00,2
9,11,9,9,0,0,32,0,24,0,8,0,0,1,1,0,0,32,8,24,24,0,0,0,0,0,0,2,2,2,2023-11-30 19:10:00,2
10,10,10,10,0,0,38,0,28,0,10,0,0,0,0,0,0,38,10,28,28,4,0,4,4,4,4,2,2,2,2023-11-30 19:12:00,0
13,13,13,13,0,0,37,0,24,0,13,0,0,0,0,0,0,37,13,24,24,0,0,0,0,0,0,2,2,2,2023-11-30 19:14:00,0
